NGF.axon.1.raw	NGF.axon.2.raw	NGF.cb.1.raw	NGF.cb.2.raw
ENSRNOT00000046586.0	0	0	0	1.00250626566416
ENSRNOT00000044669.0	0	0	1.00250626566416	0
ENSRNOT00000073698.0	0	0	0	1.00250626566416
ENSRNOT00000044187.0	0	0	0	1.00250626566416
ENSRNOT00000072186.0	0	0	0	1.00250626566416
ENSRNOT00000072360.0	0	0	0	1.00250626566416
ENSRNOT00000029038.0	0	0	0	0
ENSRNOT00000019181.0	142.355889724311	91.1779448621554	9419.3984962406	8832.18045112782
ENSRNOT00000073528.0	4.01002506265664	1.00250626566416	343.609022556391	299.598997493734
ENSRNOT00000020098.0	1.00250626566416	0	23.0075187969925	26.015037593985
ENSRNOT00000020417.0	1.00250626566416	2.00501253132832	578.897243107769	596.441102756892
ENSRNOT00000021437.0	1.00250626566416	1.00250626566416	29.9749373433584	29.9248120300752
ENSRNOT00000065646.0	3.95989974937343	10.0250626566416	42.0050125313283	53.9348370927318
ENSRNOT00000019893.0	79.0977443609023	1.00250626566416	1681.75438596491	2014.28571428571
ENSRNOT00000019918.0	1.00250626566416	2.00501253132832	814.285714285714	724.260651629073
ENSRNOT00000061930.0	0	0	39.8496240601504	41.5538847117794
ENSRNOT00000019994.0	4.01002506265664	42.9573934837093	796.942355889724	764.260651629073
ENSRNOT00000030329.0	0	0	1.00250626566416	0
ENSRNOT00000020946.0	15.0375939849624	3.00751879699248	657.142857142857	639.147869674185
ENSRNOT00000073460.0	0	1.00250626566416	288.270676691729	230.125313283208
ENSRNOT00000015131.0	7.01754385964912	2.00501253132832	1428.82205513784	1232.48120300752
ENSRNOT00000076049.0	0	0	1.00250626566416	3.00751879699248
ENSRNOT00000016215.0	0	0	1.00250626566416	3.00751879699248
ENSRNOT00000072832.0	0	0	1.00250626566416	0
ENSRNOT00000074325.0	24.0100250626566	2.45614035087719	0	4.61152882205513
ENSRNOT00000016244.0	100.250626566416	40.1002506265664	2664.11027568922	2658.54636591479
ENSRNOT00000016553.0	0	2.00501253132832	2.00501253132832	0.952380952380952
ENSRNOT00000015115.0	0	0	0	1.00250626566416
ENSRNOT00000015145.0	0	0	0	1.00250626566416
ENSRNOT00000016037.0	273.032581453634	4.01002506265664	3223.35839598997	4392.88220551378
ENSRNOT00000016048.0	0	0	0	0
ENSRNOT00000016286.0	165.263157894737	3.00751879699248	1191.22807017544	1110.02506265664
ENSRNOT00000016354.0	0	0	29.0726817042607	30.0250626566416
ENSRNOT00000050656.0	0	0	3.00751879699248	2.85714285714286
ENSRNOT00000049492.0	0	0	0	0
ENSRNOT00000019734.0	944.360902255639	458.696741854637	18598.9974937343	16672.1804511278
ENSRNOT00000020015.0	0	0	0	0
ENSRNOT00000015730.0	0	0	1.00250626566416	0
ENSRNOT00000061404.0	0	0	1.00250626566416	0
ENSRNOT00000044222.0	1584.7619047619	3099.94987468672	690.175438596491	983.508771929825
ENSRNOT00000070858.0	0	0	42.9072681704261	23.7092731829574
ENSRNOT00000016434.0	0	0	0	0
ENSRNOT00000071726.0	0	1.00250626566416	0	0
ENSRNOT00000017617.0	7.01754385964912	1.00250626566416	717.944862155388	886.5664160401
ENSRNOT00000017911.0	107.268170426065	0	69.0726817042606	79.0977443609023
ENSRNOT00000018695.0	0	0	3.00751879699248	8.02005012531328
ENSRNOT00000019519.0	0	0	14.9874686716792	6.96741854636591
ENSRNOT00000038523.0	0	0	5.0125313283208	4.01002506265664
ENSRNOT00000043157.0	0	0	0	0
ENSRNOT00000021545.0	0	0	0	0.952380952380952
ENSRNOT00000022184.0	3446.06516290727	6614.88721804511	3867.41854636591	3721.90476190476
ENSRNOT00000022362.0	0	0	0	0
ENSRNOT00000022798.0	0	0	0	0
ENSRNOT00000014805.0	72.1804511278196	106.265664160401	4939.34837092732	5115.2380952381
ENSRNOT00000016518.0	0	0	36.9423558897243	24.9624060150376
ENSRNOT00000047224.0	0	0	0	0
ENSRNOT00000017831.0	10.9774436090226	5.0125313283208	2518.59649122807	2496.94235588972
ENSRNOT00000030327.0	4.01002506265664	193.383458646617	568.12030075188	656.390977443609
ENSRNOT00000018718.0	0	0	248.370927318296	299.298245614035
ENSRNOT00000018849.0	2.00501253132832	0	204.110275689223	241.303258145363
ENSRNOT00000018871.0	2.00501253132832	0	204.110275689223	241.303258145363
ENSRNOT00000072506.0	1.00250626566416	0	142.105263157895	193.28320802005
ENSRNOT00000019047.0	3.00751879699248	4.01002506265664	1597.74436090226	1245.56390977444
ENSRNOT00000019436.0	0	3.00751879699248	100.050125313283	75.8395989974937
ENSRNOT00000019470.0	0	0	6.96741854636591	5.0125313283208
ENSRNOT00000065677.0	1.00250626566416	0	21.0025062656642	14.937343358396
ENSRNOT00000015395.0	0	1.00250626566416	1.00250626566416	1.95488721804511
ENSRNOT00000015421.0	410.877192982456	23.0576441102757	13601.9047619048	16562.7067669173
ENSRNOT00000076091.0	809.172932330827	710.375939849624	1946.21553884712	1677.04260651629
ENSRNOT00000028988.0	809.172932330827	710.375939849624	1946.21553884712	1677.04260651629
ENSRNOT00000076399.0	809.172932330827	710.375939849624	1946.21553884712	1677.04260651629
ENSRNOT00000016989.0	0	0	0	1.00250626566416
ENSRNOT00000034704.0	0	0	3.40852130325815	1.2531328320802
ENSRNOT00000018336.0	47.1177944862155	286.666666666667	4786.41604010025	3926.46616541353
ENSRNOT00000019735.0	36.0902255639098	2.00501253132832	1471.27819548872	1274.58646616541
ENSRNOT00000019806.0	2.00501253132832	53.0325814536341	230.526315789474	168.020050125313
ENSRNOT00000020251.0	70.1754385964912	7.01754385964912	1970.57644110276	2348.32080200501
ENSRNOT00000020780.0	0	0	2.00501253132832	0
ENSRNOT00000021532.0	0	0	0	1.00250626566416
ENSRNOT00000021898.0	161.303258145363	0	51.1278195488722	85.7644110275689
ENSRNOT00000036714.0	0	2.00501253132832	0	0
ENSRNOT00000022346.0	1.00250626566416	0	0	0
ENSRNOT00000072206.0	810.175438596491	710.375939849624	1973.28320802005	1707.11779448622
ENSRNOT00000075959.0	810.175438596491	710.375939849624	1973.28320802005	1707.11779448622
ENSRNOT00000076142.0	810.175438596491	710.375939849624	1973.28320802005	1707.11779448622
ENSRNOT00000044690.0	0	0	2.00501253132832	1.00250626566416
ENSRNOT00000061873.0	0	0	104.160401002506	71.8796992481203
ENSRNOT00000023010.0	0	0	279.348370927318	236.491228070175
ENSRNOT00000041762.0	132.330827067669	4.01002506265664	3607.36842105263	3301.5037593985
ENSRNOT00000023659.0	1.00250626566416	1.00250626566416	560.952380952381	386.616541353383
ENSRNOT00000023712.0	2.00501253132832	132.280701754386	1022.70676691729	1127.01754385965
ENSRNOT00000047627.0	8.02005012531328	252.631578947368	1638.74686716792	2297.94486215539
ENSRNOT00000024041.0	2.00501253132832	4.01002506265664	577.694235588972	489.724310776942
ENSRNOT00000061790.0	2.00501253132832	4.01002506265664	577.694235588972	489.724310776942
ENSRNOT00000022046.0	1.00250626566416	31.077694235589	323.90977443609	329.273182957393
ENSRNOT00000021895.0	0	0	0	2.00501253132832
ENSRNOT00000021471.0	0	0	9.02255639097744	10.0250626566416
ENSRNOT00000026564.0	10.0250626566416	105.263157894737	1848.92230576441	1952.58145363409
ENSRNOT00000047908.0	0	0	0	0
ENSRNOT00000060767.0	33599.4486215539	54918.8471177945	63455.5889724311	70317.1428571429
ENSRNOT00000026482.0	97.1929824561404	74.1353383458647	321.754385964912	239.348370927318
ENSRNOT00000026367.0	4.01002506265664	2.00501253132832	988.922305764411	889.37343358396
ENSRNOT00000025616.0	0	0	0	0
ENSRNOT00000025477.0	16.9924812030075	749.674185463659	5569.12280701754	2580.70175438596
ENSRNOT00000024682.0	0	0	0	0
ENSRNOT00000051837.0	0	0	0	1.8546365914787
ENSRNOT00000065733.0	212.431077694236	691.378446115288	2400.50125313283	2392.18045112782
ENSRNOT00000065386.0	0	0	66.6165413533835	79.0977443609023
ENSRNOT00000030132.0	0	0	1.00250626566416	0
ENSRNOT00000022939.0	9.67418546365915	3.85964912280702	1035.43859649123	1033.98496240602
ENSRNOT00000043521.0	195.137844611529	1.00250626566416	1004.41102756892	1017.89473684211
ENSRNOT00000075268.0	1.00250626566416	0	177.34335839599	178.295739348371
ENSRNOT00000066798.0	0	0	33.0827067669173	20.0501253132832
ENSRNOT00000068476.0	0	0	33.0827067669173	20.0501253132832
ENSRNOT00000067661.0	0	0	33.0827067669173	20.0501253132832
ENSRNOT00000024211.0	0	1.00250626566416	21.9047619047619	32.9824561403509
ENSRNOT00000024412.0	0	0	2.00501253132832	0
ENSRNOT00000068457.0	8.02005012531328	5.0125313283208	2480.45112781955	2284.41102756892
ENSRNOT00000024967.0	0	0	1.00250626566416	1.00250626566416
ENSRNOT00000034842.0	0	0	3.00751879699248	4.01002506265664
ENSRNOT00000050014.0	0	0	0	0
ENSRNOT00000064456.0	0	0	0	0
ENSRNOT00000024213.0	256.09022556391	347.218045112782	8211.42857142857	8745.26315789474
ENSRNOT00000023387.0	0	0	4.01002506265664	6.91729323308271
ENSRNOT00000023368.0	1.00250626566416	0	15.0375939849624	16.0401002506266
ENSRNOT00000023116.0	2.00501253132832	0	0	0
ENSRNOT00000051927.0	2.00501253132832	0	0	0
ENSRNOT00000020070.0	0	0	0	0
ENSRNOT00000076422.0	238.446115288221	177.443609022556	3870.72681704261	3567.7694235589
ENSRNOT00000019531.0	238.446115288221	177.443609022556	3870.67669172932	3567.71929824561
ENSRNOT00000025794.0	14.9874686716792	11.0275689223058	3552.48120300752	3128.02005012531
ENSRNOT00000023304.0	0	0	7.91979949874687	16.0401002506266
ENSRNOT00000023290.0	0	0	8.02005012531328	26.0651629072682
ENSRNOT00000023319.0	0	0	4.01002506265664	3.00751879699248
ENSRNOT00000017601.0	72.1804511278196	375.889724310777	875.739348370927	715.288220551378
ENSRNOT00000017809.0	31.077694235589	14.9874686716792	7373.03258145363	11418.3458646617
ENSRNOT00000018015.0	0	0	0	1.00250626566416
ENSRNOT00000019317.0	0	2.00501253132832	182.456140350877	173.182957393484
ENSRNOT00000020889.0	3.7593984962406	0.300751879699248	298.145363408521	256.942355889724
ENSRNOT00000059845.0	0	0	2.90726817042607	5.96491228070175
ENSRNOT00000036303.0	36.0902255639098	54.1353383458647	127.017543859649	124.160401002506
ENSRNOT00000002038.0	14.0350877192982	4.01002506265664	1134.48621553885	1046.96741854637
ENSRNOT00000019358.0	0	0	9.3734335839599	4.76190476190476
ENSRNOT00000073357.0	0	0	0	0
ENSRNOT00000044998.0	0	0	0	0
ENSRNOT00000017165.0	65.1127819548872	5.0125313283208	754.185463659148	882.355889724311
ENSRNOT00000017442.0	29.0726817042607	100.200501253133	646.766917293233	617.644110275689
ENSRNOT00000014598.0	3.00751879699248	2.00501253132832	149.37343358396	156.340852130326
ENSRNOT00000014842.0	0	0	0	0
ENSRNOT00000014930.0	0	0	0	2.00501253132832
ENSRNOT00000072448.0	0	0	0	0
ENSRNOT00000071972.0	0	0	0	0
ENSRNOT00000015019.0	389.624060150376	273.533834586466	18080.1503759399	19314.2355889724
ENSRNOT00000042702.0	0	0	1.00250626566416	0
ENSRNOT00000041434.0	0	0	0	1.00250626566416
ENSRNOT00000015370.0	0	0	0	0
ENSRNOT00000015343.0	1.00250626566416	2.00501253132832	97.0426065162907	46.015037593985
ENSRNOT00000050119.0	18.0451127819549	3.00751879699248	122.305764411028	114.185463659148
ENSRNOT00000068694.0	2.00501253132832	5.0125313283208	6.01503759398496	9.02255639097744
ENSRNOT00000059325.0	0	0	0	1.00250626566416
ENSRNOT00000045952.0	0	0	0	1.00250626566416
ENSRNOT00000059324.0	0	0	0	1.00250626566416
ENSRNOT00000074360.0	1.00250626566416	11.9799498746867	516.641604010025	489.273182957393
ENSRNOT00000059323.0	0	0	2.00501253132832	2.00501253132832
ENSRNOT00000017002.0	183.308270676692	245.513784461153	10487.4686716792	8145.81453634085
ENSRNOT00000017074.0	0	0	19.9498746867168	31.0275689223058
ENSRNOT00000017546.0	3.00751879699248	1.00250626566416	377.243107769424	372.280701754386
ENSRNOT00000018913.0	7.01754385964912	24.0601503759398	190.275689223058	147.117794486216
ENSRNOT00000037943.0	0	1.00250626566416	22.9573934837093	23.4085213032581
ENSRNOT00000059241.0	0	0	0	0
ENSRNOT00000035433.0	0	0	0	0
ENSRNOT00000043650.0	0	0	0	0
ENSRNOT00000059193.0	8.97243107769424	3.85964912280702	3.70927318295739	15.5889724310777
ENSRNOT00000073810.0	0	0	52.6817042606516	53.3834586466165
ENSRNOT00000031821.0	0	1.00250626566416	70.1754385964912	83.2080200501253
ENSRNOT00000075663.0	2.00501253132832	119.298245614035	128.070175438596	234.586466165414
ENSRNOT00000073354.0	0	0	0	0
ENSRNOT00000071440.0	0	0	0	1.00250626566416
ENSRNOT00000059526.0	0	0	0	1.00250626566416
ENSRNOT00000044053.0	0	0	0	1.00250626566416
ENSRNOT00000014402.0	0	0	0	1.00250626566416
ENSRNOT00000042502.0	0	0	0	0
ENSRNOT00000075013.0	0	0	0	1.00250626566416
ENSRNOT00000029893.0	0	0	0	0
ENSRNOT00000046796.0	0	0	0	1.00250626566416
ENSRNOT00000058563.0	0	1.00250626566416	253.182957393484	263.057644110276
ENSRNOT00000031007.0	358.696741854637	186.365914786967	2469.47368421053	2073.03258145363
ENSRNOT00000030931.0	103.157894736842	298.095238095238	2304.11027568922	2177.89473684211
ENSRNOT00000038860.0	4.01002506265664	0	290.47619047619	232.330827067669
ENSRNOT00000026575.0	0	0	6.01503759398496	5.0125313283208
ENSRNOT00000026204.0	0	0	25.062656641604	23.0576441102757
ENSRNOT00000036880.0	1.00250626566416	0	170.125313283208	164.661654135338
ENSRNOT00000073461.0	1.00250626566416	0	0	0
ENSRNOT00000042276.0	1.00250626566416	0	0	0
ENSRNOT00000052029.0	1.00250626566416	0	0	0
ENSRNOT00000038977.0	0	0	0	0
ENSRNOT00000040738.0	0	0	0	0
ENSRNOT00000074063.0	0	0	0	4.01002506265664
ENSRNOT00000045994.0	0	0	0	0
ENSRNOT00000043603.0	0	1.00250626566416	0	0
ENSRNOT00000051024.0	0	0	0	0
ENSRNOT00000045266.0	0	0	0	0
ENSRNOT00000046111.0	0	0	0	0
ENSRNOT00000049350.0	0	0	0	0
ENSRNOT00000052217.0	0	0	0	0
ENSRNOT00000044950.0	0	0	0	0
ENSRNOT00000075596.0	0	0	0	0
ENSRNOT00000070823.0	0	0	1.00250626566416	0
ENSRNOT00000059766.0	0	0	23.0576441102757	16.0401002506266
ENSRNOT00000074029.0	0	0	2.00501253132832	2.00501253132832
ENSRNOT00000072292.0	0	0	0	0
ENSRNOT00000043828.0	0	0	0	0
ENSRNOT00000043310.0	0	0	0	0
ENSRNOT00000051034.0	0	0	0	0
ENSRNOT00000074495.0	0	0	0	0
ENSRNOT00000074949.0	0	0	1.00250626566416	0
ENSRNOT00000032784.0	0	0	0	0
ENSRNOT00000015054.0	0	0	0	0
ENSRNOT00000021046.0	0	0	0	0
ENSRNOT00000038169.0	0	0	0	0
ENSRNOT00000020751.0	0	0	294.53634085213	217.443609022556
ENSRNOT00000075340.0	137.34335839599	155.338345864662	6706.01503759398	6999.49874686717
ENSRNOT00000072231.0	0	0	5.0125313283208	15.0375939849624
ENSRNOT00000042086.0	11.0275689223058	0	392.280701754386	337.644110275689
ENSRNOT00000050180.0	0	0	61.8546365914787	79.6992481203008
ENSRNOT00000020095.0	0	0	12.0300751879699	17.9448621553885
ENSRNOT00000020416.0	0	0	3.00751879699248	6.96741854636591
ENSRNOT00000020448.0	0	0	0	0
ENSRNOT00000072272.0	0	0	0	0
ENSRNOT00000072404.0	0	0	0	0
ENSRNOT00000075418.0	0	0	0	0
ENSRNOT00000039438.0	2.00501253132832	2.00501253132832	83.0576441102757	96.2406015037594
ENSRNOT00000059069.0	149.37343358396	3.00751879699248	1280.55137844612	1197.64411027569
ENSRNOT00000045085.0	0	0	0	0
ENSRNOT00000050817.0	0	0	0	0
ENSRNOT00000044754.0	0	0	0	0
ENSRNOT00000046047.0	0	0	1.00250626566416	1.00250626566416
ENSRNOT00000035435.0	0	0	0	0
ENSRNOT00000068459.0	0	2.00501253132832	117.042606516291	178.997493734336
ENSRNOT00000025338.0	0	0	0	0
ENSRNOT00000038802.0	0	0	3.00751879699248	4.01002506265664
ENSRNOT00000038898.0	1.00250626566416	26.0651629072682	17.9448621553885	35.0877192982456
ENSRNOT00000039823.0	0	0	0	0
ENSRNOT00000029621.0	0	0	0	0
ENSRNOT00000025080.0	0	0	0	0
ENSRNOT00000073464.0	0	0	0	0
ENSRNOT00000075566.0	0	0	0	0
ENSRNOT00000032306.0	0	0	7.01754385964912	8.7218045112782
ENSRNOT00000031172.0	0	0	0	2.00501253132832
ENSRNOT00000023744.0	4.01002506265664	2.00501253132832	1200.70175438596	1594.13533834586
ENSRNOT00000058943.0	117.894736842105	150.275689223058	282.155388471178	208.671679197995
ENSRNOT00000029136.0	2.00501253132832	0	49.0726817042607	39.0977443609023
ENSRNOT00000068550.0	2.00501253132832	3.95989974937343	84.8621553884712	110.927318295739
ENSRNOT00000022480.0	10.0250626566416	1.00250626566416	15.9899749373434	23.0576441102757
